Date,Nifty Financial Services,Nifty IT,India VIX,Nifty Bank,Nifty 50
2014-01-01,4737.60009765625,9462.7998046875,15.579999923706055,11385.466796875,
2014-01-02,4665.0,9478.349609375,16.549999237060547,11183.0703125,6221.14990234375
2014-01-03,4664.10009765625,9673.2001953125,15.869999885559082,11181.5205078125,6211.14990234375
2014-01-06,4628.35009765625,9640.75,16.5,11048.9208984375,6191.4501953125
2014-01-07,4619.25,9522.75,16.31999969482422,11036.6220703125,6162.25
2014-01-08,4626.35009765625,9531.5498046875,16.31999969482422,11053.5712890625,6174.60009765625
2014-01-09,4595.75,9575.849609375,16.18000030517578,10970.322265625,6168.35009765625
2014-01-10,4541.2998046875,9782.7001953125,15.579999923706055,10805.173828125,6171.4501953125
2014-01-13,4634.64990234375,10060.150390625,15.949999809265137,11021.4716796875,6272.75
2014-01-14,4612.39990234375,9996.7998046875,15.739999771118164,10948.7734375,6241.85009765625
2014-01-15,4697.39990234375,10065.9501953125,15.420000076293945,11125.271484375,6320.89990234375
2014-01-16,4692.2001953125,10127.75,15.539999961853027,11092.4208984375,6318.89990234375
2014-01-17,4612.9501953125,9884.349609375,15.40999984741211,10911.22265625,6261.64990234375
2014-01-20,4631.5,10154.0,15.350000381469727,11007.3720703125,6303.9501953125
2014-01-21,4684.5,10095.5498046875,15.550000190734863,11171.3701171875,6313.7998046875
2014-01-22,4696.64990234375,10112.7998046875,15.850000381469727,11207.2197265625,6338.9501953125
2014-01-23,4714.0498046875,10086.349609375,15.579999923706055,11198.8701171875,6345.64990234375
2014-01-24,4639.5498046875,10010.5,15.829999923706055,10982.2724609375,6266.75
2014-01-27,4489.10009765625,9938.650390625,18.670000076293945,10540.2783203125,6135.85009765625
2014-01-28,4483.89990234375,9837.9501953125,17.719999313354492,10507.4775390625,6126.25
2014-01-29,4463.7998046875,9896.7001953125,18.040000915527344,10437.62890625,6120.25
2014-01-30,4384.35009765625,9878.75,17.25,10153.0322265625,6073.7001953125
2014-01-31,4385.64990234375,9957.4501953125,16.81999969482422,10237.630859375,6089.5
2014-02-03,4317.2998046875,9792.099609375,18.270000457763672,10101.982421875,6001.7998046875
2014-02-04,4342.35009765625,9611.650390625,18.690000534057617,10191.08203125,6000.89990234375
2014-02-05,4355.0,9718.4501953125,18.93000030517578,10231.53125,6022.39990234375
2014-02-06,4353.64990234375,9696.0498046875,18.940000534057617,10205.08203125,6036.2998046875
2014-02-07,4368.25,9648.400390625,18.549999237060547,10263.0810546875,6063.2001953125
