Date,Axis Bank,Bandhan Bank,Bank of Baroda,Canara Bank,Federal Bank,HDFC Bank,ICICI Bank,IDFC First Bank,IndusInd Bank,Kotak Mahindra Bank,Punjab National Bank,RBL Bank,State Bank of India,Union Bank of India,Yes Bank,Bajaj Finserv,Bajaj Finance,Chola Finance,IIFL Finance,L&T Finance,LIC Housing Finance,M&M Financial,Manappuram Finance,Muthoot Finance,Power Finance Corp,REC Ltd,Shriram Transport
2005-01-04,-0.0026326001043547754,0.0,0.00446058284335475,0.055677125161129146,-0.021187329747043453,-0.011103938935583976,0.006843457416707865,0.0,-0.02297066468300019,0.03575764894874989,0.03712603717250521,0.0,-0.008960980574043369,0.042921030646312745,0.0,-0.011125719140464313,-0.008602680203715405,-0.011482760771201526,0.0,,0.016876242950845066,0.0,0.0,0.0,0.0,0.0,
2005-01-05,-0.029149847606200548,0.0,-0.07802153582109453,-0.0788463409394277,-0.03517870793217964,-0.03806226540085624,-0.033034986403947336,0.0,-0.05808651745245878,-0.02898743312484738,-0.02691685083186965,0.0,-0.05122057268982691,-0.05579502842808329,0.0,-0.03748535267579108,-0.02494558146416113,-0.05731796770642145,0.0,,-0.0469871098277194,0.0,0.0,0.0,0.0,0.0,
2005-01-06,0.004872291467719666,0.0,-0.03925578112946812,-0.028628769578423058,0.03027214627884375,-0.03024990291018683,-0.023352909220363902,0.0,0.013106398164754555,-0.028250194557305774,-0.021729665334359147,0.0,-0.021527724942561798,-0.04012798594825073,0.0,-0.015126328253173003,-0.01894655163857876,-0.017417234634291498,0.0,,-0.033374599297774914,0.0,0.0,0.0,0.0,0.0,
2005-01-07,0.026384004243950623,0.0,0.007704490810421648,0.013688724075410233,0.005518141458474241,0.010457235167515675,0.01488581911638376,0.0,0.06876145455648199,0.01114975383979557,-0.028277712209817472,0.0,0.0186080516979585,0.021444678218669827,0.0,0.022080209270531132,0.01613599263556872,0.025299826700104663,0.0,,-0.0007776156971129321,0.0,0.0,0.0,0.0,0.0,
2005-01-10,0.010465847955387892,0.0,-0.026765748695251522,-0.010739587771120978,0.012456314636699497,-0.001020578588686209,-0.02770095036866267,0.0,0.0008099417152560971,0.004915886556614795,-0.05539249525243807,0.0,-0.025832034308123763,-0.012334325843180302,0.0,-0.0012770351020620083,0.01241200969608913,0.006403154548297183,0.0,,0.014925844180175764,0.0,0.0,0.0,0.0,0.0,
2005-01-11,-0.021839713666842175,0.0,-0.051867095495890865,-0.04158919974441388,-0.06550506667566668,-0.013050394207194206,0.00528833225940084,0.0,-0.046404294439257976,-0.04623648891792046,-0.017207620591175758,0.0,-0.019694363076373747,-0.045406752633010736,0.0,0.005916821392131846,-0.04132156379817631,-0.01500535017574607,0.0,,0.018724996600539348,0.0,0.0,0.0,0.0,0.0,
2005-01-12,-0.03574723474297722,0.0,-0.05341611319198343,-0.05548939404428724,-0.048886809465701855,-0.005081234948231278,-0.016239550254934197,0.0,-0.06301292477809542,-0.03547137562228235,-0.05671861573585169,0.0,-0.025917293557795533,-0.059158436631444586,0.0,-0.019382810019874384,-0.006995348090641411,-0.029962238177219384,0.0,,0.0030039664052065426,0.0,0.0,0.0,0.0,0.0,
2005-01-13,-0.03193544447658649,0.0,0.07036567822472461,0.0762496260074715,0.033291799193134484,0.03664231938980783,0.025604058221916165,0.0,0.099653257655509,0.03473725526262911,0.0698494783628338,0.0,0.034043742008618955,0.07550753497344381,0.0,0.02372961189404575,0.009887962609862164,0.024185735587062766,0.0,,0.0019973979013692125,0.0,0.0,0.0,0.0,0.0,
2005-01-14,0.07298897532186054,0.0,-0.007470814220931653,-0.03518967410574016,0.013659247088540482,0.03166411758576151,-0.008224590153056145,0.0,0.002449815271345232,-0.017591487965183387,-0.04998336288455044,0.0,-0.025012578392922195,0.005879433269647278,0.0,-0.03148619912090062,0.0008124329655215509,-0.020483630761911197,0.0,,0.012395167467884863,0.0,0.0,0.0,0.0,0.0,
2005-01-17,0.04045129444768784,0.0,0.029554034766106248,0.06237880849975625,0.016656113041158643,0.009855227679028711,0.0027016120062950465,0.0,0.015378975849677713,0.003729332765558685,0.006902270900754797,0.0,0.018160311882450337,0.019352227273569948,0.0,-0.01182018266318384,0.0,-0.005187078164855585,0.0,,0.03533755490628091,0.0,0.0,0.0,0.0,0.0,
2005-01-18,0.009107171556706501,0.0,-0.009438730754343278,0.04505579339853885,-0.014720349857131838,-0.012577367167641334,-0.003128977740371804,0.0,-0.015378975849677613,0.003159161096415591,-0.017345641857929032,0.0,-0.007669651588121851,-0.011081610278738687,0.0,0.028604774302494262,0.052190387379833385,0.00740220499089618,0.0,,-0.0004759222484020959,0.0,0.0,0.0,0.0,0.0,
2005-01-19,-0.014713685092128444,0.0,-0.023750408026743684,-0.03197418325303278,-0.0294426418338385,0.01036354826897721,0.0017079003615247375,0.0,-0.03570301103500058,-0.004649007319121532,-0.014380934447964174,0.0,-0.0056618357553418945,-0.03350046072586382,0.0,-0.06487789394343954,0.04322625385323085,-0.005917231651192011,0.0,,-0.0019051149682753749,0.0,0.0,0.0,0.0,0.0,
2005-01-20,-0.023792340245436704,0.0,-0.016893440178837968,-0.01527857364092702,-0.02691952106523392,-0.014656695552861268,-0.01547753590619606,0.0,-0.01963344157571911,0.0009313685242171289,0.005664288361981982,0.0,-0.008379664438893255,-0.0015040733966991792,0.0,0.009883057817053727,-0.044768492941089796,-0.010440072204117272,0.0,,-0.01006261781847755,0.0,0.0,0.0,0.0,0.0,
2005-01-24,0.06754375604700914,0.0,-0.046755166657750105,-0.05758996111071276,-0.05900549188252722,-0.039897867858528065,-0.022344741487087882,0.0,-0.0008627156631842926,-0.028138740010438434,0.025511846959255072,0.0,-0.008975805889732453,-0.005534940123026121,0.0,0.0,-0.0035220576825186565,0.002246012386842668,0.0,,-0.0285766420785826,0.0,0.0,0.0,0.0,0.0,
2005-01-25,-0.028282734418221708,0.0,-0.004408193766283063,0.05783429785548189,0.009003717926179952,0.05782533618557914,0.014660723481526755,0.0,-0.0008631525123963188,-0.0019173089106727709,-0.004829193084414111,0.0,0.018645284259559962,0.036656094785838644,0.0,-0.024371704545584575,0.02060869212187708,0.005965861282301521,0.0,,0.008143025242996416,0.0,0.0,0.0,0.0,0.0,
2005-01-27,0.038504331400691136,0.0,-0.011763336177479128,-0.018494172950344348,0.03764760532176331,0.032225839310743014,-0.01776713145770173,0.0,0.002587456107442344,0.03284568621868397,0.014145580885846847,0.0,-0.0017201218663372552,0.06769498564252045,0.0,-0.0027837883088807245,0.029892569194213518,-0.02027840651417951,0.0,,-0.0022143230325023357,0.0,0.0,0.0,0.0,0.0,
2005-01-28,-0.006558905499056292,0.0,0.045240461316478284,0.03400946090552776,0.010647449769009566,0.0040837392381111405,0.0307805369848129,0.0,0.011986219523061737,0.032879503343353246,0.04271322884539313,0.0,0.0685969536478886,-0.015575354071207094,0.0,0.036173629729788034,0.001145524999243385,0.007558413810363575,0.0,,0.010047989691017497,0.0,0.0,0.0,0.0,0.0,
2005-01-31,0.004377487420420272,0.0,0.03020010858722684,0.007907053305051488,0.039523037937178374,0.04482602469393373,0.03625486901025074,0.0,-0.009405670933089425,0.0354815422041567,0.07159411646464256,0.0,0.03288332270349689,0.019205009516470944,0.0,-0.002162455350013369,0.007813813248418655,0.002256690069562576,0.0,,0.02836719854470301,0.0,0.0,0.0,0.0,0.0,
2005-02-01,-0.0077955816645287855,0.0,0.017404560627308305,-0.012246589237003506,0.009478707684580796,-0.007912843533765654,0.002490676051039422,0.0,0.0025739064955182804,0.019578189558191236,-0.004755385278835091,0.0,-0.014017116538410559,-0.0018133578590551023,0.0,0.007382074864167369,0.001133660311999642,0.007484865669054586,0.0,,-0.010244230686519007,0.0,0.0,0.0,0.0,0.0,
2005-02-02,0.051476951803244624,0.0,0.02039892667775641,-0.004358292302818991,-0.011451072140121098,-0.0027712591576849535,0.011678315252920774,0.0,-0.006016043017352278,0.013345832247119023,-0.008961964559628477,0.0,0.02291970183926463,0.03565468599596349,0.0,-0.010466445759792917,0.003638278634062102,-0.0014923725120871833,0.0,,0.01921079571887899,0.0,0.0,0.0,0.0,0.0,
2005-02-03,0.042520704974277325,0.0,0.01259952827064255,0.015888671668468357,-0.009588731283720646,0.02632447157998618,0.00978673393558359,0.0,0.0017224341689485066,0.02322202732709977,0.011647322823342481,0.0,0.011265780804044574,0.035694812049250346,0.0,0.023232076767850898,0.000403006058897054,0.03233184865450235,0.0,,0.008188186091904704,0.0,0.0,0.0,0.0,0.0,
2005-02-04,0.0017794234418456675,0.0,-0.021324852356393344,-0.023439320797490715,0.013529577629832566,-0.01113427283516842,-0.010743258953239791,0.0,0.007715287100048777,0.009952163607056589,-0.004887458174196473,0.0,-0.012191099889865976,-0.01876379499457224,0.0,0.01567320904382532,0.0003231344540241467,-0.02563284064224311,0.0,,0.023714736479531248,0.0,0.0,0.0,0.0,0.0,
2005-02-07,-0.007360419953920993,0.0,-0.007608171778375676,-0.009087628372327195,-0.023881902907206824,-0.009566710777906882,-0.012658488546901131,0.0,-0.012892209937861415,0.016103404528737736,-0.01979295672877051,0.0,-0.008210646940172454,0.004723920116261851,0.0,-0.01049984013758031,-0.0059038864777770485,-0.002971797944563563,0.0,,0.002726376613046581,0.0,0.0,0.0,0.0,0.0,
2005-02-08,0.027598530138925048,0.0,-0.016847720926965327,0.01712353241812095,0.02878600311779345,0.015368549477448763,0.004696725548343665,0.0,0.02224191910773508,0.019614653051125037,0.02150625517622481,0.0,-0.011971564594118762,-0.010768852692768543,0.0,0.0036523447543648137,0.006306482540136059,0.01696812073103082,0.0,,0.013075068227701601,0.0,0.0,0.0,0.0,0.0,
